HP,MPG,MPGF,VOL,WT,SP
49,65.4,53.70068138,89,17.5,96
55,56,50.01340115,92,20,97
55,55.9,50.01340115,92,20,97
70,49,45.69632238,92,20,105
53,46.5,50.50423183,92,20,96
70,46.2,45.69632238,89,20,105
55,45.4,50.01340115,92,20,97
62,59.2,46.71655428,50,22.5,98
62,53.3,46.71655428,50,22.5,98
80,43.4,42.29907817,94,22.5,107
73,41.1,44.65283424,89,22.5,103
92,40.9,39.3540941,50,22.5,113
92,40.9,39.3540941,99,22.5,113
73,40.4,44.65283424,89,22.5,103
66,39.6,45.73489292,89,22.5,100
73,39.3,44.65283424,89,22.5,103
78,38.9,42.78990885,91,22.5,106
92,38.8,39.3540941,50,22.5,113
78,38.2,42.78990885,91,22.5,106
90,42.2,38.90183397,103,25,109
92,40.9,38.4110033,99,25,110
74,40.7,42.8284794,107,25,101
95,40,38.31060597,101,25,111
81,39.3,40.47472334,96,25,105
95,38.8,38.31060597,89,25,111
92,38.4,38.4110033,50,25,110
92,38.4,38.4110033,117,25,110
92,38.4,38.4110033,99,25,110
52,46.9,43.4694339,104,27.5,90
103,36.3,35.40419245,107,27.5,112
84,36.1,39.4312352,114,27.5,103
84,36.1,39.4312352,101,27.5,103
102,35.4,36.28545648,97,27.5,111
102,35.3,36.28545648,113,27.5,111
81,35.1,39.53163253,101,27.5,102
90,35.1,37.95874317,98,27.5,106
90,35,37.95874317,88,27.5,106
102,33.2,34.07066829,86,30,109
102,32.9,34.07066829,86,30,109
130,32.3,31.01413094,92,30,120
95,32.2,35.15272697,113,30,106
95,32.2,35.15272697,106,30,106
102,32.2,34.07066829,92,30,109
95,32.2,35.15272697,88,30,106
93,31.5,35.64355765,102,30,105
100,31.5,34.56149897,99,30,108
100,31.4,34.56149897,111,30,108
98,31.4,35.05232964,103,30,107
130,31.2,31.01413094,86,30,120
115,33.7,29.62993595,101,35,109
115,32.6,29.62993595,101,35,109
115,31.3,29.62993595,101,35,109
115,31.3,29.62993595,124,35,109
180,30.4,24.48736667,113,35,133
160,28.9,26.85227868,113,35,125
130,28,27.85625194,124,35,115
96,28,31.11358394,92,35,102
115,28,29.62993595,101,35,109
100,28,30.13192258,94,35,104
100,28,28.8602252,115,35,105
145,27.7,27.35426531,111,35,120
120,25.6,24.60913156,116,40,107
140,25.3,23.51591693,131,40,114
140,23.9,23.51591693,123,40,114
150,23.6,23.60515831,121,40,117
165,23.6,23.10317168,50,40,122
165,23.6,23.10317168,114,40,122
165,23.6,23.10317168,127,40,122
165,23.6,23.10317168,123,40,122
245,23.5,21.27370792,112,40,148
280,23.4,19.67850666,50,40,160
162,23.4,23.203569,135,40,121
162,23.1,23.203569,132,40,121
140,22.9,19.08634055,160,45,110
140,22.9,19.08634055,129,45,110
175,19.5,18.76283667,129,45,121
322,18.1,20.20185463,50,45,165
238,17.2,19.1978876,115,45,140
263,17,20.05683973,50,45,147
295,16.7,19.83373318,119,45,157
236,13.2,12.10126289,107,55,130